Description,Year,Population,Count or Estimate,State or County Release
"Wrangell Borough, AK",2015,2452,Estimate,County
"Wrangell Borough, AK",2016,2493,Estimate,County
"Wrangell Borough, AK",2017,2516,Estimate,County
"Wrangell Borough, AK",2018,2521,Estimate,County
"Wrangell Borough, AK",2019,2513,Estimate,County
"Wrangell Borough, AK",2020,2510,Estimate,County
"Yakutat Borough, AK",2015,637,Estimate,County
"Yakutat Borough, AK",2016,615,Estimate,County
"Yakutat Borough, AK",2017,610,Estimate,County
"Yakutat Borough, AK",2018,600,Estimate,County
"Yakutat Borough, AK",2019,576,Estimate,County
"Yakutat Borough, AK",2020,637,Estimate,County
