Date_parsed,State,Year,Month,Data Value,State Name
2019-06-01,AZ,2019,June,1778.0,Arizona
2019-03-01,AZ,2019,March,1764.0,Arizona
2019-05-01,AZ,2019,May,1784.0,Arizona
2019-11-01,AZ,2019,November,1952.0,Arizona
2019-10-01,AZ,2019,October,1945.0,Arizona
2019-09-01,AZ,2019,September,1899.0,Arizona
2020-04-01,AZ,2020,April,2146.0,Arizona
2020-08-01,AZ,2020,August,2586.0,Arizona
2020-12-01,AZ,2020,December,2644.0,Arizona
2020-02-01,AZ,2020,February,2064.0,Arizona
2020-01-01,AZ,2020,January,2025.0,Arizona
2020-07-01,AZ,2020,July,2470.0,Arizona
2020-06-01,AZ,2020,June,2361.0,Arizona
2020-03-01,AZ,2020,March,2101.0,Arizona
2020-05-01,AZ,2020,May,2220.0,Arizona
2020-11-01,AZ,2020,November,2649.0,Arizona
2020-10-01,AZ,2020,October,2615.0,Arizona
2020-09-01,AZ,2020,September,2585.0,Arizona
2021-02-01,AZ,2021,February,2690.0,Arizona
2021-01-01,AZ,2021,January,2670.0,Arizona
2021-03-01,AZ,2021,March,2708.0,Arizona
2015-04-01,CA,2015,April,4625.0,California
2015-08-01,CA,2015,August,4670.0,California
2015-12-01,CA,2015,December,4762.0,California
2015-02-01,CA,2015,February,4616.0,California
2015-01-01,CA,2015,January,4603.0,California
2015-07-01,CA,2015,July,4628.0,California
2015-06-01,CA,2015,June,4604.0,California
2015-03-01,CA,2015,March,4608.0,California
2015-05-01,CA,2015,May,4607.0,California
2015-11-01,CA,2015,November,4747.0,California
2015-10-01,CA,2015,October,4784.0,California
2015-09-01,CA,2015,September,4747.0,California
2016-04-01,CA,2016,April,4795.0,California
2016-08-01,CA,2016,August,4791.0,California
2016-12-01,CA,2016,December,4755.0,California
2016-02-01,CA,2016,February,4745.0,California
2016-01-01,CA,2016,January,4745.0,California
2016-07-01,CA,2016,July,4816.0,California
2016-06-01,CA,2016,June,4844.0,California
2016-03-01,CA,2016,March,4768.0,California
2016-05-01,CA,2016,May,4811.0,California
2016-11-01,CA,2016,November,4709.0,California
2016-10-01,CA,2016,October,4659.0,California
2016-09-01,CA,2016,September,4716.0,California
2017-04-01,CA,2017,April,4714.0,California
2017-08-01,CA,2017,August,4900.0,California
2017-12-01,CA,2017,December,5028.0,California
2017-02-01,CA,2017,February,4724.0,California
2017-01-01,CA,2017,January,4771.0,California
2017-07-01,CA,2017,July,4870.0,California
2017-06-01,CA,2017,June,4808.0,California
2017-03-01,CA,2017,March,4721.0,California
2017-05-01,CA,2017,May,4761.0,California
2017-11-01,CA,2017,November,5059.0,California
2017-10-01,CA,2017,October,5078.0,California
2017-09-01,CA,2017,September,4972.0,California
2018-04-01,CA,2018,April,5201.0,California
2018-08-01,CA,2018,August,5289.0,California
2018-12-01,CA,2018,December,5494.0,California
2018-02-01,CA,2018,February,5174.0,California
2018-01-01,CA,2018,January,5092.0,California
2018-07-01,CA,2018,July,5209.0,California
2018-06-01,CA,2018,June,5192.0,California
2018-03-01,CA,2018,March,5195.0,California
2018-05-01,CA,2018,May,5164.0,California
2018-11-01,CA,2018,November,5400.0,California
2018-10-01,CA,2018,October,5370.0,California
2018-09-01,CA,2018,September,5341.0,California
2019-04-01,CA,2019,April,5700.0,California
2019-08-01,CA,2019,August,6041.0,California
2019-12-01,CA,2019,December,6363.0,California
2019-02-01,CA,2019,February,5555.0,California
2019-01-01,CA,2019,January,5515.0,California
2019-07-01,CA,2019,July,5945.0,California
2019-06-01,CA,2019,June,5883.0,California
2019-03-01,CA,2019,March,5623.0,California
2019-05-01,CA,2019,May,5801.0,California
2019-11-01,CA,2019,November,6285.0,California
2019-10-01,CA,2019,October,6133.0,California
2019-09-01,CA,2019,September,6091.0,California
2020-04-01,CA,2020,April,6961.0,California
2020-08-01,CA,2020,August,8220.0,California
2020-12-01,CA,2020,December,9207.0,California
2020-02-01,CA,2020,February,6591.0,California
2020-01-01,CA,2020,January,6455.0,California
2020-07-01,CA,2020,July,7793.0,California
2020-06-01,CA,2020,June,7444.0,California
2020-03-01,CA,2020,March,6746.0,California
2020-05-01,CA,2020,May,7224.0,California
2020-11-01,CA,2020,November,8940.0,California
2020-10-01,CA,2020,October,8749.0,California
2020-09-01,CA,2020,September,8480.0,California
2021-02-01,CA,2021,February,9631.0,California
2021-01-01,CA,2021,January,9530.0,California
2021-03-01,CA,2021,March,9758.0,California
2015-04-01,CO,2015,April,950.0,Colorado
2015-08-01,CO,2015,August,928.0,Colorado
2015-12-01,CO,2015,December,913.0,Colorado
2015-02-01,CO,2015,February,932.0,Colorado
